seed,numerRuns,rounds,outcome
5347875586892155169,1,25,loss
5347875586892155169,2,25,loss
5347875586892155169,3,25,loss
5347875586892155169,4,25,loss
5347875586892155169,5,25,loss
4347614202392999470,1,24,loss
4347614202392999470,2,24,loss
4347614202392999470,3,24,loss
4347614202392999470,4,24,loss
4347614202392999470,5,24,loss
8823571739339303048,1,22,loss
8823571739339303048,2,22,loss
8823571739339303048,3,22,loss
8823571739339303048,4,22,loss
8823571739339303048,5,22,loss
2402172278821705263,1,22,loss
2402172278821705263,2,22,loss
2402172278821705263,3,22,loss
2402172278821705263,4,22,loss
2402172278821705263,5,22,loss
1314877626886693323,1,24,loss
1314877626886693323,2,24,loss
1314877626886693323,3,24,loss
1314877626886693323,4,24,loss
1314877626886693323,5,24,loss
5561854656996996691,1,36,loss
5561854656996996691,2,36,loss
5561854656996996691,3,36,loss
5561854656996996691,4,36,loss
5561854656996996691,5,36,loss
7297017874950364552,1,5,loss
7297017874950364552,2,5,loss
7297017874950364552,3,5,loss
7297017874950364552,4,5,loss
7297017874950364552,5,5,loss
3064044615761586203,1,47,loss
3064044615761586203,2,47,loss
3064044615761586203,3,47,loss
3064044615761586203,4,47,loss
3064044615761586203,5,47,loss
8664265902099440319,1,96,win
8664265902099440319,2,96,win
8664265902099440319,3,96,win
8664265902099440319,4,96,win
8664265902099440319,5,96,win
3730404999292747926,1,29,loss
3730404999292747926,2,29,loss
3730404999292747926,3,29,loss
3730404999292747926,4,29,loss
3730404999292747926,5,29,loss
1034560149041697365,1,27,loss
1034560149041697365,2,27,loss
1034560149041697365,3,27,loss
1034560149041697365,4,27,loss
1034560149041697365,5,27,loss
6753008561248401684,1,26,win
6753008561248401684,2,26,win
6753008561248401684,3,26,win
6753008561248401684,4,26,win
6753008561248401684,5,26,win
7655263860413674018,1,14,loss
7655263860413674018,2,14,loss
7655263860413674018,3,14,loss
7655263860413674018,4,14,loss
7655263860413674018,5,14,loss
8873014926726448395,1,5,loss
8873014926726448395,2,5,loss
8873014926726448395,3,5,loss
8873014926726448395,4,5,loss
8873014926726448395,5,5,loss
5378483018248393368,1,40,win
5378483018248393368,2,40,win
5378483018248393368,3,40,win
5378483018248393368,4,40,win
5378483018248393368,5,40,win
5071375505261691816,1,21,loss
5071375505261691816,2,21,loss
5071375505261691816,3,21,loss
5071375505261691816,4,21,loss
5071375505261691816,5,21,loss
7032352643086994746,1,32,win
7032352643086994746,2,32,win
7032352643086994746,3,32,win
7032352643086994746,4,32,win
7032352643086994746,5,32,win
9163086203570583865,1,51,win
9163086203570583865,2,51,win
9163086203570583865,3,51,win
9163086203570583865,4,51,win
9163086203570583865,5,51,win
285041483393109229,1,22,win
285041483393109229,2,22,win
285041483393109229,3,22,win
285041483393109229,4,22,win
285041483393109229,5,22,win
1079097945563107274,1,52,loss
1079097945563107274,2,52,loss
1079097945563107274,3,52,loss
1079097945563107274,4,52,loss
1079097945563107274,5,52,loss
811775576599166617,1,16,loss
811775576599166617,2,16,loss
811775576599166617,3,16,loss
811775576599166617,4,16,loss
811775576599166617,5,16,loss
604635837877424229,1,65,win
604635837877424229,2,65,win
604635837877424229,3,65,win
604635837877424229,4,65,win
604635837877424229,5,65,win
53606479399026714,1,13,win
53606479399026714,2,13,win
53606479399026714,3,13,win
53606479399026714,4,13,win
53606479399026714,5,13,win
6352568307539845864,1,25,loss
6352568307539845864,2,25,loss
6352568307539845864,3,25,loss
6352568307539845864,4,25,loss
6352568307539845864,5,25,loss
542422838496838861,1,28,loss
542422838496838861,2,28,loss
542422838496838861,3,28,loss
542422838496838861,4,28,loss
542422838496838861,5,28,loss
7897648830184430692,1,21,loss
7897648830184430692,2,21,loss
7897648830184430692,3,21,loss
7897648830184430692,4,21,loss
7897648830184430692,5,21,loss
6074133729917745241,1,45,loss
6074133729917745241,2,45,loss
6074133729917745241,3,45,loss
6074133729917745241,4,45,loss
6074133729917745241,5,45,loss
8086151317502264582,1,38,win
8086151317502264582,2,38,win
8086151317502264582,3,38,win
8086151317502264582,4,38,win
8086151317502264582,5,38,win
5666384982490697606,1,18,loss
5666384982490697606,2,18,loss
5666384982490697606,3,18,loss
5666384982490697606,4,18,loss
5666384982490697606,5,18,loss
6706660714263604376,1,6,loss
6706660714263604376,2,6,loss
6706660714263604376,3,6,loss
6706660714263604376,4,6,loss
6706660714263604376,5,6,loss
3940711732536172062,1,36,loss
3940711732536172062,2,36,loss
3940711732536172062,3,36,loss
3940711732536172062,4,36,loss
3940711732536172062,5,36,loss
1503929917046359151,1,21,win
1503929917046359151,2,21,win
1503929917046359151,3,21,win
1503929917046359151,4,21,win
1503929917046359151,5,21,win
4663987503521572722,1,29,loss
4663987503521572722,2,29,loss
4663987503521572722,3,29,loss
4663987503521572722,4,29,loss
4663987503521572722,5,29,loss
2725438614329802461,1,22,loss
2725438614329802461,2,22,loss
