seed,numerRuns,rounds,outcome
5347875586892155169,1,25,loss
4347614202392999470,1,24,win
8823571739339303048,1,31,win
2402172278821705263,1,38,win
1314877626886693323,1,24,loss
5561854656996996691,1,39,loss
7297017874950364552,1,77,win
3064044615761586203,1,32,loss
8664265902099440319,1,70,win
3730404999292747926,1,27,loss
1034560149041697365,1,126,loss
6753008561248401684,1,17,win
7655263860413674018,1,36,loss
8873014926726448395,1,43,win
5378483018248393368,1,28,win
7032352643086994746,1,46,win
9163086203570583865,1,41,win
285041483393109229,1,18,win
1079097945563107274,1,43,loss
811775576599166617,1,16,loss
604635837877424229,1,107,win
53606479399026714,1,8,win
6352568307539845864,1,80,loss
542422838496838861,1,29,win
7897648830184430692,1,52,win
6074133729917745241,1,36,win
8086151317502264582,1,47,win
5666384982490697606,1,19,loss
6706660714263604376,1,65,win
3940711732536172062,1,16,win
1503929917046359151,1,16,win
4663987503521572722,1,35,win
2725438614329802461,1,29,win
8726227476577357693,1,51,loss
4841829340669225868,1,38,win
3947670637220276010,1,30,win
8786603318601304089,1,19,loss
380079865114638904,1,37,win
1061144181728526328,1,17,loss
4941105584345370282,1,32,win
3396017023038118009,1,52,win
563864678721797003,1,16,win
7331367599159736204,1,17,win
3060344478912775593,1,17,win
4334211274533219376,1,39,win
2079888364805295607,1,70,loss
6895727800406554602,1,63,win
874968412599074163,1,36,win
7513586064702135379,1,40,win
8010054327349014651,1,20,loss
5162080032852909840,1,73,win
8425362749579346825,1,40,win
3948650335739290042,1,71,loss
2781129443369369520,1,28,win
5405362808001767699,1,54,win
1075763115849173840,1,46,loss
7283166683908972523,1,49,win
5059757798364544637,1,22,win
2430415329301100269,1,12,win
4408599568353421525,1,37,win
6879443506304860353,1,26,loss
961163718882462254,1,83,loss
3726525256445905346,1,39,loss
4883162273198634129,1,45,loss
2424419575396069467,1,37,loss
4612229647312071994,1,37,win
5625610483495208807,1,42,loss
8243501648917402643,1,36,win
1182622233672485674,1,16,win
5343102253142675407,1,35,loss
4710719368567368756,1,46,win
3558185724502438830,1,7,win
7783682585353860873,1,20,win
6495610125778508837,1,48,loss
4021686053366820500,1,74,loss
5609030840745680770,1,48,win
6692886177242401344,1,33,loss
8779579896110381940,1,17,win
7265963503673060277,1,24,win
3153513815685968534,1,53,win
2990287291961561656,1,51,win
4948308328387811504,1,51,win
245252142292659714,1,10,win
4655660049103937616,1,17,win
765141895977751678,1,35,win
570436349027138716,1,54,win
2212897251609018713,1,25,win
6772735986260390770,1,17,win
4671890468569908538,1,41,win
3463654269031567147,1,16,win
8598059009644812182,1,79,win
1737618189630387524,1,39,loss
2153788083978606662,1,67,loss
8859126063667093352,1,31,loss
7394772957464781242,1,60,loss
4634784886166892114,1,11,loss
6075996629926429701,1,83,win
2214900687852023752,1,33,win
9048104050268189917,1,21,win
608468537293395668,1,20,win
4053187115977649287,1,68,win
3629841528223372184,1,17,win
4695611623453538321,1,26,win
1000101209797792150,1,45,loss
6883451490954507546,1,27,loss
8054289740944702575,1,33,loss
1453450526861943141,1,25,loss
2530184480554230558,1,44,win
495175899191400065,1,25,loss
1164650252139669146,1,37,win
7523648241511919468,1,11,win
5003447751191231342,1,45,win
7459237176987728840,1,17,win
6300483502251830939,1,41,win
5619501686353607843,1,80,loss
2087868765041693514,1,22,loss
8173290077426194146,1,26,win
2212596514450186866,1,15,win
8579034742161137167,1,22,loss
1748714264994563620,1,30,win
5453002774949003362,1,39,win
2800482446401685525,1,22,loss
3992140894335241643,1,32,win
6851722983349308751,1,43,win
5346228012516914915,1,81,win
